Round   1 : 2 of clubs 	7 of hearts 	2 of hearts 	5 of hearts 	
Round   2 : 3 of clubs 	5 of hearts 	7 of hearts 	4 of spades 	
Round   3 : K of clubs 	10 of clubs 	K of hearts 	2 of spades 	
Round   4 : 3 of hearts 	Q of hearts 	10 of hearts 	5 of diamonds 	
Round   5 : Q of diamonds 	7 of diamonds 	6 of diamonds 	4 of hearts 	
Round   6 : 2 of diamonds 	Q of clubs 	6 of spades 	10 of clubs 	
Round   7 : Q of hearts 	4 of spades 	K of hearts 	2 of diamonds 	
Round   8 : 2 of diamonds 	2 of spades 	7 of spades 	3 of clubs 	
Round   9 : J of clubs 	8 of hearts 	Q of diamonds 	4 of diamonds 	
Round   10 : Q of diamonds 	4 of diamonds 	5 of clubs 	5 of spades 	
Round   11 : A of spades 	3 of hearts 	10 of clubs 	4 of spades 	
Round   12 : 6 of hearts 	A of spades 	6 of spades 	9 of hearts 	
Round   13 : 3 of spades 	4 of spades 	7 of spades 	4 of hearts 	
Round   14 : 2 of spades 	7 of hearts 	9 of clubs 	3 of diamonds 	
Round   15 : 10 of diamonds 	K of clubs 	9 of diamonds 	2 of spades 	
Round   16 : Q of diamonds 	A of diamonds 	Q of hearts 	2 of spades 	
Round   17 : 7 of diamonds 	J of hearts 	Q of diamonds 	9 of spades 	
Round   18 : Q of diamonds 	3 of hearts 	9 of diamonds 	A of hearts 	
Round   19 : 3 of diamonds 	Q of clubs 	9 of diamonds 	Q of diamonds 	
Round   20 : 3 of spades 	4 of hearts 	Q of diamonds 	J of clubs 	
Round   21 : 10 of hearts 	5 of hearts 	9 of diamonds 	K of clubs 	
Round   22 : 3 of diamonds 	J of clubs 	4 of diamonds 	Q of diamonds 	
Round   23 : 4 of spades 	10 of spades 	Q of clubs 	A of hearts 	
Round   24 : 10 of hearts 	7 of spades 	9 of spades 	7 of hearts 	
Round   25 : A of hearts 	3 of spades 	A of diamonds 	8 of clubs 	
Round   26 : K of clubs 	9 of diamonds 	J of diamonds 	2 of spades 	
